hour,weekday_name,distance_to_next_m,time_gap_hours
11,Wednesday,0.0,1.3552777777777778
14,Wednesday,0.0,1.498888888888889
0,Thursday,0.0,8.615833333333333
9,Thursday,0.0,1.7855555555555556
15,Thursday,0.0,2.479722222222222
11,Saturday,0.0,4.034722222222222
19,Tuesday,0.0,1.0238888888888888
14,Wednesday,0.0,2.0719444444444446
20,Wednesday,0.0,13.822222222222223
15,Thursday,0.0,1.7027777777777777
21,Thursday,0.0,12.902777777777779
12,Friday,0.0,4.052777777777778
16,Sunday,0.0,2.3780555555555556
18,Sunday,0.0,14.830833333333333
15,Monday,0.0,1.181111111111111
21,Tuesday,0.0,5.5616666666666665
11,Thursday,0.0,2.408333333333333
11,Friday,0.0,1.0183333333333333
15,Saturday,0.0,20.209444444444443
10,Tuesday,0.0,1.7897222222222222
21,Tuesday,0.0,12.676666666666666
10,Wednesday,0.0,2.6752777777777776
20,Wednesday,0.0,12.077777777777778
10,Friday,0.0,2.0775
18,Sunday,0.0,1.2247222222222223
20,Sunday,0.0,13.248333333333333
14,Tuesday,0.0,1.375
15,Tuesday,0.0,16.631944444444443
8,Wednesday,0.0,2.088888888888889
10,Wednesday,0.0,3.422222222222222
13,Friday,0.0,1.0775
10,Saturday,0.0,1.0730555555555557
17,Saturday,0.0,24.0725
8,Monday,0.0,1.2325
14,Monday,0.0,3.1977777777777776
14,Monday,0.0,1.2313888888888889
15,Monday,0.0,17.968055555555555
17,Tuesday,0.0,2.8208333333333333
8,Thursday,0.0,1.7158333333333333
10,Sunday,0.0,1.1505555555555556
11,Tuesday,0.0,1.3005555555555555
22,Friday,0.0,13.549166666666666
16,Sunday,0.0,2.4180555555555556
18,Monday,0.0,2.008888888888889
21,Thursday,0.0,13.481666666666667
11,Friday,0.0,1.0619444444444444
18,Sunday,0.0,14.024722222222222
11,Tuesday,0.0,2.155
22,Wednesday,0.0,7.028888888888889
12,Monday,0.0,1.3366666666666667
13,Monday,0.0,1.3319444444444444
15,Monday,0.0,1.5455555555555556
12,Tuesday,0.0,1.5577777777777777
8,Thursday,0.0,3.2925
11,Friday,0.0,2.3680555555555554
11,Monday,0.0,1.2291666666666667
10,Tuesday,0.0,2.795
14,Tuesday,0.0,1.6325
15,Wednesday,0.0,1.5316666666666667
17,Wednesday,0.0,1.0019444444444445
18,Wednesday,0.0,2.1144444444444446
9,Friday,0.0,2.198611111111111
15,Sunday,0.0,2.3444444444444446
19,Sunday,0.0,15.553888888888888
7,Tuesday,0.0,2.546111111111111
21,Tuesday,0.0,35.895
15,Thursday,0.0,1.3391666666666666
15,Saturday,0.0,1.515
17,Saturday,0.0,41.82416666666666
11,Monday,0.0,1.0161111111111112
12,Monday,0.0,1.1466666666666667
21,Monday,0.0,13.356388888888889
20,Sunday,0.0,14.928611111111111
11,Monday,0.0,1.1377777777777778
8,Tuesday,0.0,1.5591666666666666
7,Wednesday,0.0,1.2716666666666667
18,Wednesday,0.0,19.380555555555556
13,Sunday,0.0,2.6641666666666666
16,Sunday,0.0,16.38
11,Wednesday,0.0,1.3641666666666667
10,Thursday,0.0,1.7305555555555556
22,Thursday,0.0,8.5275
10,Friday,0.0,1.4952777777777777
11,Friday,0.0,1.93
13,Friday,0.0,1.8144444444444445
15,Friday,0.0,2.671388888888889
14,Saturday,0.0,2.8341666666666665
11,Monday,0.0,1.2236111111111112
13,Monday,0.0,1.1894444444444445
9,Wednesday,0.0,1.4041666666666666
9,Friday,0.0,1.9905555555555556
14,Friday,0.0,1.4136111111111112
18,Sunday,0.0,17.09138888888889
20,Monday,0.0,12.12
8,Tuesday,0.0,2.0652777777777778
17,Tuesday,0.0,40.955
14,Sunday,0.0,4.463888888888889
18,Sunday,0.0,15.961388888888889
12,Wednesday,0.0,1.62
22,Friday,0.0,6.4783333333333335
20,Saturday,0.0,1.7180555555555554
18,Sunday,0.0,2.0744444444444445
10,Monday,0.0,2.5772222222222223
16,Wednesday,0.0,1.3819444444444444
11,Sunday,0.0,9.172777777777778
20,Sunday,0.0,12.815833333333334
9,Monday,0.0,1.1825
12,Monday,0.0,4.2652777777777775
21,Tuesday,0.0,12.3225
9,Wednesday,0.0,2.068888888888889
17,Thursday,0.0,17.500833333333333
20,Friday,0.0,14.640555555555556
12,Sunday,0.0,3.3519444444444444
21,Monday,0.0,21.906666666666666
22,Wednesday,0.0,11.909722222222221
11,Thursday,0.0,1.8002777777777779
20,Thursday,0.0,3.1905555555555556
23,Thursday,0.0,10.515277777777778
17,Sunday,0.0,17.06111111111111
10,Tuesday,0.0,1.2494444444444444
11,Wednesday,0.0,2.1105555555555555
19,Wednesday,0.0,12.568888888888889
11,Friday,0.0,1.3441666666666667
15,Saturday,0.0,5.459444444444444
20,Saturday,0.0,1.5638888888888889
13,Monday,0.0,3.016388888888889
20,Monday,0.0,13.588611111111112
13,Tuesday,0.0,1.4413888888888888
11,Thursday,0.0,1.3811111111111112
20,Thursday,0.0,3.9483333333333333
17,Monday,0.0,3.3441666666666667
21,Tuesday,0.0,15.450833333333334
13,Wednesday,0.0,3.841111111111111
17,Wednesday,0.0,16.50722222222222
15,Sunday,0.0,17.783055555555556
17,Saturday,0.0,18.411666666666665
19,Sunday,0.0,13.158611111111112
8,Monday,0.0,5.381111111111111
12,Tuesday,0.0,1.2461111111111112
17,Friday,0.0,1.7438888888888888
19,Friday,0.0,1.2552777777777777
14,Sunday,0.0,1.9502777777777778
14,Wednesday,0.0,1.085
16,Wednesday,0.0,4.530277777777778
21,Wednesday,0.0,11.790555555555555
22,Thursday,0.0,12.032222222222222
23,Friday,0.0,11.513055555555555
15,Saturday,0.0,1.94
17,Saturday,0.0,2.345833333333333
10,Monday,0.0,1.985
12,Monday,0.0,1.025
20,Saturday,0.0,13.893611111111111
15,Monday,0.0,2.735
20,Monday,0.0,1.6802777777777778
22,Monday,0.0,13.744722222222222
11,Thursday,0.0,1.8155555555555556
10,Friday,0.0,1.218888888888889
9,Monday,0.0,1.4605555555555556
12,Monday,0.0,1.0733333333333333
10,Tuesday,0.0,1.1080555555555556
17,Tuesday,0.0,2.726111111111111
10,Wednesday,0.0,1.876111111111111
12,Wednesday,0.0,1.0586111111111112
13,Wednesday,0.0,1.886111111111111
11,Thursday,0.0,1.1752777777777779
22,Thursday,0.0,8.850277777777778
7,Friday,0.0,1.6977777777777778
14,Friday,0.0,2.1463888888888887
9,Tuesday,0.0,2.5005555555555556
18,Wednesday,0.0,3.189722222222222
16,Thursday,0.0,3.8125
22,Thursday,0.0,10.346944444444444
19,Sunday,0.0,16.933611111111112
18,Monday,0.0,16.65361111111111
21,Tuesday,0.0,12.063333333333333
13,Wednesday,0.0,1.2236111111111112
19,Thursday,0.0,11.838888888888889
11,Friday,0.0,5.799722222222222
18,Friday,0.0,17.04388888888889
11,Saturday,0.0,1.9897222222222222
