hour,speed_kmh,time_gap_hours,distance_to_next_m
19,111.22365099875722,0.01361111111111111,1513.8774719275289
13,111.26283351274171,0.29,32266.22171869509
13,0.004741771871884439,340.81555555555553,1616.0696148340016
15,165.1502696648213,0.009166666666666667,1513.8774719275289
15,320.58581758465317,0.004722222222222222,1513.8774719275289
12,272.49794494695516,0.005555555555555556,1513.8774719275289
12,340.62243118369395,0.0044444444444444444,1513.8774719275289
12,389.28277849565023,0.0038888888888888888,1513.8774719275289
12,320.58581758465317,0.004722222222222222,1513.8774719275289
12,363.3305932626069,0.004166666666666667,1513.8774719275289
12,155.7131113982601,0.009722222222222222,1513.8774719275289
12,108.99917797878207,0.013888888888888888,1513.8774719275289
12,187.92961720479667,0.008055555555555555,1513.8774719275289
17,0.0,24.0725,0.0
10,456.37715505777095,0.026944444444444444,12296.828900167719
10,1317.1085664361392,0.014166666666666666,18659.03802451197
10,1291.7795555431367,0.014444444444444444,18659.03802451197
19,234.35457290218596,0.10777777777777778,25258.21507945782
19,2.497629820792279,43.83166666666666,109475.27776169356
16,136.24897247347758,0.011111111111111112,1513.8774719275289
15,136.1029300250245,0.03833333333333333,5217.278984292606
20,126.74323020788613,0.011944444444444445,1513.8774719275289
20,201.85032959033717,0.0075,1513.8774719275289
20,143.41997102471325,0.010555555555555556,1513.8774719275289
12,160.29290879232659,0.009444444444444445,1513.8774719275289
12,143.41997102471325,0.010555555555555556,1513.8774719275289
12,160.29290879232659,0.009444444444444445,1513.8774719275289
12,139.7425358702334,0.010833333333333334,1513.8774719275289
12,236.95473473648275,0.006388888888888889,1513.8774719275289
12,121.11019775420229,0.0125,1513.8774719275289
11,265.8561718629694,0.01888888888888889,5021.727690744978
15,110.03469781885228,0.015277777777777777,1681.0856611213542
15,0.05831577318673069,25.96,1513.8774719275289
13,302.8809006837424,0.005,1514.4045034187122
13,147.34746519749632,0.010277777777777778,1514.4045034187122
13,111.26237167974212,0.01361111111111111,1514.4045034187122
18,540.9754174920362,0.03222222222222222,17431.430119187833
22,104.80690190267507,0.014444444444444444,1513.8774719275289
5,0.1328518963453976,85.42722222222223,11349.168471741914
20,0.07082063107812772,110.20416666666667,7804.728630772501
11,147.2961864578136,0.010277777777777778,1513.8774719275289
12,119.63187479906611,0.043611111111111114,5217.278984292606
17,105.84289584256038,0.09027777777777778,9555.261430231145
18,100.90713108102894,0.37194444444444447,37531.84681041604
21,0.0,35.895,0.0
17,0.0,41.82416666666666,0.0
10,194.64138924782512,0.0077777777777777776,1513.8774719275289
9,0.5198448302622658,26.049444444444443,13541.669025648545
18,126.74323020788613,0.011944444444444445,1513.8774719275289
18,302.77549438550574,0.005,1513.8774719275289
16,126.74323020788613,0.011944444444444445,1513.8774719275289
16,160.29290879232659,0.009444444444444445,1513.8774719275289
21,100.92516479516858,0.015,1513.8774719275289
21,143.41997102471325,0.010555555555555556,1513.8774719275289
21,187.92961720479667,0.008055555555555555,1513.8774719275289
16,174.34806007699822,0.06972222222222223,12155.93418870182
16,138.05790858694064,0.06972222222222223,9625.704182033918
15,499.2754357823177,0.021111111111111112,10540.25919984893
15,4087.869513876656,0.0019444444444444444,7948.635165871276
15,100.08846949140582,0.04138888888888889,4142.550542838741
15,122.63922903951033,0.008055555555555555,987.9271228182776
15,214.95348334000076,0.005,1074.7674167000039
15,147.790425942746,0.006666666666666667,985.2695062849734
15,241.14997082807167,0.006388888888888889,1540.6803691793468
15,278.2162475485571,0.005555555555555556,1545.645819714206
15,109.25301429285817,0.029444444444444443,3216.894309734157
17,0.0,40.955,0.0
19,147.62422499081305,0.019444444444444445,2870.4710414880315
19,463.6057798297913,0.035833333333333335,16612.540443900856
19,488.0638740186212,0.01972222222222222,9625.704182033918
19,934.5058854809408,0.01,9345.05885480941
19,314.97880468050414,0.015555555555555555,4899.670295030064
19,1114.5019316274536,0.005555555555555556,6191.677397930298
19,154.59072229048678,0.01972222222222222,3048.8725785068223
19,359.20012457670555,0.029722222222222223,10676.225924918748
19,431.32958396049605,0.013333333333333334,5751.061119473281
19,134.0514889919056,0.0675,9048.475506953628
20,333.5202775098688,0.011666666666666667,3891.069904281803
13,199.8106845048232,0.026111111111111113,5217.278984292606
4,0.0735483016860151,178.80416666666667,13150.742792716526
21,389.28277849565023,0.0038888888888888888,1513.8774719275289
21,165.1502696648213,0.009166666666666667,1513.8774719275289
21,236.95473473648275,0.006388888888888889,1513.8774719275289
21,217.99835595756414,0.006944444444444444,1513.8774719275289
21,126.74323020788613,0.011944444444444445,1513.8774719275289
21,363.3305932626069,0.004166666666666667,1513.8774719275289
13,149.3588665127436,0.018055555555555554,2696.757312035648
11,130.87897971410885,0.2086111111111111,27302.809379248818
11,321.4848065908939,0.029444444444444443,9465.941527398543
11,106.40513947432211,0.13111111111111112,13950.896064411121
11,159.1712232496049,0.03277777777777778,5217.278984292606
17,136.24897247347758,0.011111111111111112,1513.8774719275289
19,111.28142011529172,0.012222222222222223,1360.1062458535655
15,139.2444500133397,0.051944444444444446,7232.975597915147
16,0.06113520403539254,24.762777777777778,1513.8774719275289
18,181.65138906679815,0.02388888888888889,4339.449849929067
18,0.1928220026592759,64.4925,12435.573006503353
