date,weekday_name,point_count,distance_to_next_m,speed_kmh,inactive_count,total_distance_km
2008-01-01,Tuesday,5,28563.413173809553,8.040713669909515,0,28.563413173809554
2008-01-02,Wednesday,12,30259.83589818421,5.964903487829884,2,30.25983589818421
2008-01-03,Thursday,8,250993.07759795914,9.633193698025899,3,250.99307759795914
2008-01-04,Friday,8,30699.438105901012,6.160214299898607,0,30.699438105901013
2008-01-05,Saturday,30,23224.10289018487,5.590434071715927,1,23.22410289018487
2008-01-06,Sunday,4,14326.495845950965,8.387336299140518,0,14.326495845950966
2008-01-07,Monday,14,207430.8842886722,17.039922850193097,0,207.43088428867222
2008-01-08,Tuesday,11,35245.79646871356,7.425379512962732,1,35.245796468713564
2008-01-09,Wednesday,10,26982.48956847958,5.169459591212453,2,26.982489568479583
2008-01-10,Thursday,12,92278.34600418326,11.908741487381485,2,92.27834600418326
2008-01-11,Friday,17,27456.000457115006,3.205628170726758,1,27.456000457115007
2008-01-12,Saturday,4,11576.12984390663,3.6459085016223223,0,11.57612984390663
2008-01-13,Sunday,5,26297.038297166462,9.207609707089443,2,26.297038297166463
2008-01-14,Monday,13,47796.91610520188,1.4913001042171599,1,47.79691610520188
2008-01-15,Tuesday,11,30177.836775910702,2.717307466820826,1,30.177836775910702
2008-01-16,Wednesday,11,35755.585607648536,16.923505770591575,0,35.755585607648534
2008-01-30,Wednesday,2,12580.768679803477,4.474675238344433,0,12.580768679803477
2008-01-31,Thursday,6,6055.509887710115,2.391870582346698,1,6.055509887710115
2008-02-01,Friday,9,38472.47659218573,4.286256430423064,1,38.472476592185735
2008-02-02,Saturday,9,6055.509887710115,63.319945502930736,1,6.055509887710115
2008-02-03,Sunday,3,16729.816959043455,4.937446534247069,0,16.729816959043454
2008-02-04,Monday,54,25365.39664442179,40.61709855485028,0,25.365396644421793
2008-02-05,Tuesday,12,53371.93236101381,8.529583392454812,2,53.37193236101381
2008-02-06,Wednesday,10,33113.16576716018,4.613240643179526,2,33.113165767160176
2008-02-07,Thursday,19,46901.758058386244,7.972493481718676,0,46.90175805838624
2008-02-08,Friday,15,127747.42775027567,8.918298516756796,1,127.74742775027568
2008-02-09,Saturday,2,13949.450478430881,0.6988656699463169,0,13.949450478430881
2008-02-10,Sunday,5,13949.450478430881,4.6932314202488445,2,13.949450478430881
2008-02-11,Monday,6,196729.7998269507,21.34843956206821,0,196.7297998269507
2008-02-12,Tuesday,2,0.0,0.0,2,0.0
2008-02-13,Wednesday,8,29854.299420299772,6.816805827040784,2,29.85429942029977
2008-02-14,Thursday,9,55486.23785234971,6.809737852326113,0,55.48623785234971
2008-02-15,Friday,10,35743.72532265778,2.7454277874475927,1,35.74372532265778
2008-02-16,Saturday,16,27434.973123730102,4.1395004183262065,2,27.434973123730103
2008-02-17,Sunday,6,9083.264831565173,26.926473534298093,0,9.083264831565174
2008-02-18,Monday,5,259994.68782933417,7.161337307015012,2,259.99468782933417
2008-02-19,Tuesday,9,32816.496339655176,4.4047316622468,0,32.816496339655174
2008-02-20,Wednesday,18,32919.485662204155,4.007285557944885,0,32.91948566220415
