hour,point_count,distance_to_next_m,speed_kmh,avg_distance_m
0,107,384496.3150057659,6.269748433995613,3593.423504726784
1,20,72980.53364013201,0.3402145185590148,3649.0266820066004
2,9,11469.960852847282,0.47320662454614243,1274.4400947608092
3,8,18813.20701532684,0.10114519904137859,2351.650876915855
4,17,154499.79698657512,3.71994673454605,9088.223352151477
5,20,238859.6509078118,6.357638687190503,11942.98254539059
6,24,606609.2872729817,40.132107783311874,25275.38696970757
7,70,835227.0848507766,7.915879669035402,11931.815497868238
8,560,2933107.997606469,9.284781344137361,5237.692852868694
9,1972,9980384.824733475,16.82594279664722,5061.04707136586
10,3352,12797536.873317394,16.953498903493124,3817.880928793972
11,4418,12417330.265832545,14.18651529988976,2810.6225137692495
12,3748,10392473.33268779,19.648365698032684,2772.8050514108295
13,4416,11202582.252368638,14.731843052884786,2536.816633235652
14,3109,11139641.6638536,12.64024277473918,3583.0304483285945
15,3215,13776661.020858262,13.80158262166254,4285.120068696194
16,2860,11594043.481475247,15.883003784436985,4053.8613571591773
17,3101,13746885.28431165,12.371228661773257,4433.049108130168
18,2387,7998898.324896918,9.889405590346929,3351.0256912010545
19,2777,11162500.978680462,17.119267318092472,4019.6258475622835
20,3407,13759715.75316324,19.91732620099387,4038.6603325985443
21,2268,7859817.13774437,14.202249695682928,3465.527838511627
22,817,3009128.921242651,15.506466257330802,3683.144334446329
23,227,601850.4495728734,15.580222590482977,2651.323566400323
